type,budget,lieu,camera,objectif,lumieres,prix_estime
pub,low,studio,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,Softbox 135W,1987
documentaire,low,extérieur,Nikon Z30,Canon 50mm f/1.8,Neewer LED Panel,3514
pub,low,studio,Fujifilm X-T200,Meike 25mm T2.2,Softbox 135W,1718
documentaire,medium,extérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,Godox SL60W,7990
clip,high,intérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,288959
court-métrage,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Aputure Amaran 100x,9343
pub,medium,extérieur,Nikon Z6 II,Canon RF 24-70mm,Aputure AL-MC RGB,7413
interview,high,extérieur,ARRI Alexa Mini,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,211176
clip,low,extérieur,Fujifilm X-T200,Meike 25mm T2.2,Neewer LED Panel,3957
court-métrage,low,extérieur,Nikon Z30,Canon 50mm f/1.8,Ring Light,3078
clip,medium,studio,Blackmagic Pocket 4K,Canon RF 24-70mm,Godox SL60W,4513
pub,low,extérieur,Sony A6400,Yongnuo 35mm f/2,GVM LED RGB,3338
court-métrage,medium,extérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Godox SL60W,5249
clip,medium,studio,Panasonic GH6,Tokina 11-20mm f/2.8,Aputure AL-MC RGB,7928
clip,medium,intérieur,Sony A7 IV,Sigma 30mm f/1.4,SmallRig RC120B,9404
interview,low,extérieur,Canon M50,Meike 25mm T2.2,Softbox 135W,1758
pub,low,intérieur,Fujifilm X-T200,Sigma 16mm f/1.4,Andoer 660 LED,3988
interview,high,studio,ARRI Alexa Mini,Leica Summilux-C 29mm,Litepanels Gemini 2x1,264775
interview,medium,intérieur,Panasonic GH6,Tamron 28-75mm,Aputure AL-MC RGB,4580
pub,medium,intérieur,Nikon Z6 II,Tamron 28-75mm,Godox SL60W,8056
pub,low,intérieur,Canon M50,Meike 25mm T2.2,Andoer 660 LED,2081
interview,medium,extérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Godox SL60W,5844
documentaire,medium,studio,Nikon Z6 II,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,7102
documentaire,medium,studio,Panasonic GH6,Tamron 28-75mm,SmallRig RC120B,7282
court-métrage,low,intérieur,Fujifilm X-T200,Meike 25mm T2.2,Softbox 135W,3301
documentaire,medium,extérieur,Fujifilm X-H2,Sigma 30mm f/1.4,Nanlite PavoTube 6C,9066
documentaire,low,studio,Canon M50,Kit 18-55mm,Andoer 660 LED,2797
documentaire,high,intérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Astera Titan Tube,178546
court-métrage,medium,studio,Sony FX30,Sony 18-105mm f/4 G,SmallRig RC120B,9535
clip,high,extérieur,RED Komodo,ARRI Signature Prime 35mm,Astera Titan Tube,169032
pub,low,extérieur,Nikon Z30,Yongnuo 35mm f/2,Neewer LED Panel,1670
pub,low,extérieur,Panasonic G7,Viltrox 23mm f/1.4,Ulanzi VL49,2710
documentaire,medium,extérieur,Sony FX30,Canon RF 24-70mm,Aputure Amaran 100x,8092
documentaire,high,extérieur,Sony FX6,Sony G Master 35mm f/1.4,Nanlite Forza 300,72492
documentaire,high,intérieur,Sony FX6,Leica Summilux-C 29mm,Creamsource Vortex8,499304
court-métrage,high,intérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Astera Titan Tube,404256
pub,medium,extérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6706
pub,high,studio,Sony FX6,Leica Summilux-C 29mm,Litepanels Gemini 2x1,216685
clip,medium,intérieur,Sony FX30,Sigma 30mm f/1.4,Nanlite PavoTube 6C,8394
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Astera Titan Tube,39771
clip,medium,studio,Sony A7 IV,Tokina 11-20mm f/2.8,FalconEyes RX-18T,9538
clip,high,extérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Creamsource Vortex8,257188
pub,low,extérieur,Panasonic G7,Yongnuo 35mm f/2,GVM LED RGB,2517
clip,medium,studio,Canon R6,Sigma 24-70mm f/2.8,FalconEyes RX-18T,9468
clip,medium,extérieur,Sony A7 IV,Tokina 11-20mm f/2.8,Godox SL60W,4690
documentaire,medium,studio,Sony A7 IV,Tamron 28-75mm,Aputure Amaran 100x,6812
court-métrage,low,intérieur,Fujifilm X-T200,Kit 18-55mm,GVM LED RGB,2021
court-métrage,high,extérieur,Sony FX6,Canon L 24-70mm f/2.8,Creamsource Vortex8,304528
court-métrage,medium,extérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,Nanlite PavoTube 6C,5870
interview,low,studio,Nikon Z30,Canon 50mm f/1.8,GVM LED RGB,2656
interview,low,studio,Fujifilm X-T200,Yongnuo 35mm f/2,Ulanzi VL49,3853
documentaire,low,extérieur,Fujifilm X-T200,Kit 18-55mm,Neewer LED Panel,3838
documentaire,high,studio,RED Komodo,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,283367
documentaire,low,extérieur,Sony A6400,Canon 50mm f/1.8,Neewer LED Panel,1704
interview,low,studio,Canon M50,Kit 18-55mm,Ulanzi VL49,3634
documentaire,medium,studio,Sony A7 IV,Tamron 28-75mm,Aputure Amaran 100x,7181
interview,low,intérieur,Fujifilm X-T200,Sigma 16mm f/1.4,Softbox 135W,2069
interview,medium,intérieur,Fujifilm X-H2,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6497
court-métrage,low,studio,Nikon Z30,Canon 50mm f/1.8,Andoer 660 LED,1682
court-métrage,high,intérieur,RED Komodo,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,374934
court-métrage,low,studio,Panasonic G7,Meike 25mm T2.2,Ulanzi VL49,3572
interview,medium,extérieur,Nikon Z6 II,Tokina 11-20mm f/2.8,SmallRig RC120B,5043
interview,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Aputure Amaran 100x,7904
documentaire,medium,extérieur,Nikon Z6 II,Canon RF 24-70mm,Nanlite PavoTube 6C,5158
interview,low,intérieur,Panasonic G7,Viltrox 23mm f/1.4,Neewer LED Panel,2220
interview,high,extérieur,Sony VENICE,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,355123
documentaire,medium,intérieur,Sony A7 IV,Tamron 28-75mm,SmallRig RC120B,8744
interview,low,intérieur,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,Andoer 660 LED,3457
documentaire,medium,intérieur,Canon R6,Sigma 24-70mm f/2.8,Godox SL60W,9941
pub,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,Ulanzi VL49,2689
documentaire,low,intérieur,Sony A6400,Viltrox 23mm f/1.4,Andoer 660 LED,2474
pub,medium,extérieur,Panasonic GH6,Sigma 30mm f/1.4,FalconEyes RX-18T,7816
interview,low,intérieur,Panasonic G7,Sigma 16mm f/1.4,Neewer LED Panel,1814
court-métrage,high,studio,Sony VENICE,Leica Summilux-C 29mm,Aputure 300x,475327
court-métrage,medium,studio,Canon R6,Sigma 30mm f/1.4,Godox SL60W,5830
clip,high,intérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Astera Titan Tube,493002
documentaire,high,extérieur,Blackmagic URSA Mini Pro 12K,ARRI Signature Prime 35mm,Creamsource Vortex8,409287
documentaire,low,studio,Sony A6400,Yongnuo 35mm f/2,Neewer LED Panel,2768
court-métrage,medium,intérieur,Fujifilm X-H2,Canon RF 24-70mm,Godox SL60W,9842
interview,medium,studio,Nikon Z6 II,Sony 18-105mm f/4 G,FalconEyes RX-18T,6138
court-métrage,medium,studio,Fujifilm X-H2,Sigma 30mm f/1.4,Godox SL60W,9677
pub,low,studio,Sony A6400,Kit 18-55mm,Ulanzi VL49,2547
documentaire,medium,studio,Sony FX30,Tokina 11-20mm f/2.8,FalconEyes RX-18T,7580
documentaire,medium,studio,Sony FX30,Sigma 30mm f/1.4,Aputure AL-MC RGB,6051
pub,low,intérieur,Fujifilm X-T200,Canon 50mm f/1.8,Softbox 135W,3606
interview,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Astera Titan Tube,393619
clip,medium,intérieur,Sony FX30,Canon RF 24-70mm,SmallRig RC120B,6883
documentaire,low,intérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Neewer LED Panel,3645
interview,medium,intérieur,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,SmallRig RC120B,4843
court-métrage,low,extérieur,Blackmagic Pocket Cinema Camera HD,Viltrox 23mm f/1.4,Softbox 135W,3371
clip,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,Softbox 135W,2394
pub,low,intérieur,Nikon Z30,Meike 25mm T2.2,Ulanzi VL49,2454
pub,high,extérieur,Sony FX6,Sony G Master 35mm f/1.4,Aputure 300x,18582
pub,low,studio,Canon M50,Canon 50mm f/1.8,Andoer 660 LED,2961
documentaire,high,intérieur,ARRI Alexa Mini,Leica Summilux-C 29mm,Astera Titan Tube,218840
interview,low,extérieur,Sony A6400,Yongnuo 35mm f/2,Andoer 660 LED,3902
court-métrage,medium,extérieur,Sony FX30,Sigma 24-70mm f/2.8,Aputure Amaran 100x,9067
clip,medium,intérieur,Sony FX30,Tamron 28-75mm,Aputure AL-MC RGB,8348
court-métrage,high,intérieur,Sony FX6,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,248939
documentaire,low,intérieur,Fujifilm X-T200,Meike 25mm T2.2,GVM LED RGB,2216
documentaire,high,studio,RED Komodo,Canon L 24-70mm f/2.8,Aputure 300x,27849
court-métrage,high,studio,Sony VENICE,ARRI Signature Prime 35mm,Creamsource Vortex8,178880
court-métrage,high,studio,Canon C70,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,132595
clip,high,intérieur,RED Komodo,Sony G Master 35mm f/1.4,Creamsource Vortex8,436616
court-métrage,medium,studio,Nikon Z6 II,Sigma 30mm f/1.4,Aputure Amaran 100x,9092
court-métrage,low,intérieur,Canon M50,Sigma 16mm f/1.4,Softbox 135W,2258
interview,high,studio,Sony VENICE,Canon CN-E 85mm T1.3,Aputure 300x,149603
interview,low,studio,Sony A6400,Canon 50mm f/1.8,Softbox 135W,2847
documentaire,high,intérieur,Sony FX6,Canon CN-E 85mm T1.3,Astera Titan Tube,185022
interview,high,studio,Sony FX6,Leica Summilux-C 29mm,Astera Titan Tube,192507
pub,high,extérieur,Sony VENICE,Canon CN-E 85mm T1.3,Nanlite Forza 300,317981
clip,low,studio,Sony A6400,Yongnuo 35mm f/2,GVM LED RGB,3546
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,65209
interview,low,studio,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Ring Light,1739
clip,medium,intérieur,Sony FX30,Sony 18-105mm f/4 G,Godox SL60W,7030
interview,low,extérieur,Fujifilm X-T200,Kit 18-55mm,Softbox 135W,1911
documentaire,medium,intérieur,Sony A7 IV,Tamron 28-75mm,FalconEyes RX-18T,6972
documentaire,medium,extérieur,Canon R6,Canon RF 24-70mm,Aputure AL-MC RGB,8155
pub,low,studio,Fujifilm X-T200,Yongnuo 35mm f/2,Neewer LED Panel,1984
interview,medium,intérieur,Fujifilm X-H2,Sigma 24-70mm f/2.8,FalconEyes RX-18T,8657
pub,high,studio,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,163957
documentaire,medium,extérieur,Fujifilm X-H2,Tamron 28-75mm,SmallRig RC120B,5299
pub,medium,studio,Sony A7 IV,Canon RF 24-70mm,Nanlite PavoTube 6C,5841
documentaire,low,intérieur,Fujifilm X-T200,Viltrox 23mm f/1.4,Neewer LED Panel,1793
interview,low,intérieur,Sony A6400,Meike 25mm T2.2,Andoer 660 LED,3750
clip,low,intérieur,Canon M50,Sigma 16mm f/1.4,Andoer 660 LED,2251
interview,high,intérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Aputure 300x,239422
documentaire,medium,studio,Panasonic GH6,Sigma 24-70mm f/2.8,Nanlite PavoTube 6C,4713
clip,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6788
documentaire,low,extérieur,Canon M50,Kit 18-55mm,Neewer LED Panel,2958
interview,medium,intérieur,Panasonic GH6,Tamron 28-75mm,Aputure Amaran 100x,9622
clip,medium,studio,Fujifilm X-H2,Canon RF 24-70mm,Aputure Amaran 100x,8104
documentaire,low,studio,Sony A6400,Yongnuo 35mm f/2,GVM LED RGB,1846
pub,medium,extérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,6600
interview,high,extérieur,Sony FX6,Leica Summilux-C 29mm,Litepanels Gemini 2x1,326503
clip,low,extérieur,Blackmagic Pocket Cinema Camera HD,Sigma 16mm f/1.4,Neewer LED Panel,3672
pub,medium,intérieur,Sony FX30,Sigma 30mm f/1.4,Aputure AL-MC RGB,7200
clip,medium,extérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,FalconEyes RX-18T,7853
documentaire,low,studio,Fujifilm X-T200,Kit 18-55mm,Softbox 135W,3926
documentaire,high,studio,Sony VENICE,Zeiss CP.3 50mm T2.1,Aputure 300x,251352
court-métrage,low,intérieur,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,Andoer 660 LED,2522
documentaire,high,extérieur,Sony VENICE,Canon L 24-70mm f/2.8,Astera Titan Tube,455417
documentaire,low,intérieur,Sony A6400,Meike 25mm T2.2,GVM LED RGB,1565
documentaire,low,intérieur,Fujifilm X-T200,Canon 50mm f/1.8,Ring Light,1921
clip,medium,studio,Sony FX30,Canon RF 24-70mm,FalconEyes RX-18T,4953
clip,low,extérieur,Fujifilm X-T200,Kit 18-55mm,Ring Light,3456
pub,low,intérieur,Nikon Z30,Yongnuo 35mm f/2,Andoer 660 LED,2388
court-métrage,medium,intérieur,Panasonic GH6,Tokina 11-20mm f/2.8,Godox SL60W,5979
court-métrage,medium,studio,Canon R6,Sigma 30mm f/1.4,Godox SL60W,8166
documentaire,high,studio,Canon C70,Leica Summilux-C 29mm,Nanlite Forza 300,328548
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Leica Summilux-C 29mm,Aputure 300x,58021
documentaire,low,extérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Ring Light,2758
court-métrage,high,studio,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,167403
interview,low,intérieur,Canon M50,Sigma 16mm f/1.4,Ring Light,3580
clip,low,intérieur,Nikon Z30,Yongnuo 35mm f/2,Ulanzi VL49,3269
pub,low,intérieur,Sony A6400,Viltrox 23mm f/1.4,Andoer 660 LED,3781
clip,high,intérieur,Sony VENICE,ARRI Signature Prime 35mm,ARRI SkyPanel S60,332009
clip,medium,intérieur,Fujifilm X-H2,Sigma 30mm f/1.4,Nanlite PavoTube 6C,8940
clip,medium,extérieur,Blackmagic Pocket 4K,Tamron 28-75mm,FalconEyes RX-18T,5184
clip,low,intérieur,Sony A6400,Sigma 16mm f/1.4,GVM LED RGB,3208
pub,medium,extérieur,Nikon Z6 II,Sigma 30mm f/1.4,SmallRig RC120B,7029
court-métrage,medium,intérieur,Panasonic GH6,Sigma 30mm f/1.4,Aputure Amaran 100x,5137
interview,low,studio,Canon M50,Kit 18-55mm,Andoer 660 LED,3438
interview,low,extérieur,Fujifilm X-T200,Meike 25mm T2.2,Softbox 135W,3119
interview,high,studio,Sony FX6,ARRI Signature Prime 35mm,ARRI SkyPanel S60,94496
court-métrage,high,intérieur,Sony VENICE,ARRI Signature Prime 35mm,Nanlite Forza 300,151795
pub,low,extérieur,Panasonic G7,Yongnuo 35mm f/2,Ulanzi VL49,2431
documentaire,low,studio,Sony A6400,Kit 18-55mm,Ring Light,2175
clip,medium,intérieur,Panasonic GH6,Tokina 11-20mm f/2.8,SmallRig RC120B,9787
pub,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Aputure AL-MC RGB,9858
pub,medium,intérieur,Fujifilm X-H2,Tamron 28-75mm,FalconEyes RX-18T,6827
court-métrage,high,intérieur,Sony VENICE,Canon L 24-70mm f/2.8,Creamsource Vortex8,244336
clip,medium,intérieur,Nikon Z6 II,Tamron 28-75mm,Aputure Amaran 100x,9877
clip,medium,intérieur,Sony A7 IV,Sigma 24-70mm f/2.8,FalconEyes RX-18T,7169
pub,high,intérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,233449
interview,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,GVM LED RGB,3371
pub,medium,extérieur,Sony A7 IV,Sigma 30mm f/1.4,Godox SL60W,4667
court-métrage,low,extérieur,Sony A6400,Viltrox 23mm f/1.4,Softbox 135W,2418
pub,medium,studio,Canon R6,Tokina 11-20mm f/2.8,Aputure AL-MC RGB,9795
court-métrage,medium,intérieur,Blackmagic Pocket 4K,Tamron 28-75mm,SmallRig RC120B,9966
court-métrage,low,intérieur,Canon M50,Yongnuo 35mm f/2,Andoer 660 LED,3946
court-métrage,medium,studio,Canon R6,Canon RF 24-70mm,Aputure AL-MC RGB,9543
pub,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Aputure Amaran 100x,5261
documentaire,low,studio,Sony A6400,Meike 25mm T2.2,Ring Light,3906
court-métrage,low,studio,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Softbox 135W,1751
documentaire,low,studio,Panasonic G7,Meike 25mm T2.2,Ulanzi VL49,2200
clip,low,intérieur,Canon M50,Meike 25mm T2.2,Andoer 660 LED,1726
interview,high,intérieur,Canon C70,Canon CN-E 85mm T1.3,Nanlite Forza 300,493640
court-métrage,medium,studio,Panasonic GH6,Tamron 28-75mm,Aputure AL-MC RGB,5991
documentaire,medium,studio,Fujifilm X-H2,Sigma 24-70mm f/2.8,Aputure Amaran 100x,9324
documentaire,medium,intérieur,Fujifilm X-H2,Canon RF 24-70mm,Aputure AL-MC RGB,7337
interview,medium,intérieur,Sony A7 IV,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,7135
pub,high,studio,ARRI Alexa Mini,ARRI Signature Prime 35mm,Astera Titan Tube,174194
documentaire,high,studio,Sony VENICE,Sony G Master 35mm f/1.4,Aputure 300x,172339
documentaire,high,extérieur,RED Komodo,Canon CN-E 85mm T1.3,Creamsource Vortex8,228529
pub,medium,intérieur,Nikon Z6 II,Sony 18-105mm f/4 G,Aputure Amaran 100x,6521
pub,low,studio,Sony A6400,Viltrox 23mm f/1.4,GVM LED RGB,1622
pub,high,extérieur,Sony FX6,Canon CN-E 85mm T1.3,Astera Titan Tube,258310
interview,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,SmallRig RC120B,9527
clip,low,intérieur,Sony A6400,Canon 50mm f/1.8,Andoer 660 LED,2363
court-métrage,medium,extérieur,Panasonic GH6,Sigma 30mm f/1.4,Nanlite PavoTube 6C,9376
pub,low,intérieur,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,GVM LED RGB,3422
clip,low,extérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Neewer LED Panel,2821
court-métrage,high,studio,Canon C70,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,236923
court-métrage,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,307278
pub,high,extérieur,RED Komodo,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,448935
court-métrage,high,intérieur,Canon C70,Sony G Master 35mm f/1.4,Creamsource Vortex8,328122
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Aputure 300x,372262
court-métrage,high,studio,RED Komodo,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,191340
court-métrage,low,extérieur,Nikon Z30,Viltrox 23mm f/1.4,Ring Light,3405
pub,low,intérieur,Sony A6400,Canon 50mm f/1.8,Ring Light,3070
pub,medium,studio,Canon R6,Tamron 28-75mm,SmallRig RC120B,8218
interview,medium,extérieur,Fujifilm X-H2,Canon RF 24-70mm,Godox SL60W,8262
pub,low,studio,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Ulanzi VL49,2722
documentaire,low,extérieur,Canon M50,Yongnuo 35mm f/2,Neewer LED Panel,3299
clip,medium,extérieur,Fujifilm X-H2,Tamron 28-75mm,Aputure AL-MC RGB,6937
interview,high,extérieur,Canon C70,ARRI Signature Prime 35mm,Aputure 300x,266435
documentaire,low,studio,Sony A6400,Viltrox 23mm f/1.4,Ulanzi VL49,3209
documentaire,low,studio,Panasonic G7,Canon 50mm f/1.8,Andoer 660 LED,1765
pub,low,intérieur,Panasonic G7,Meike 25mm T2.2,Ulanzi VL49,2859
interview,low,intérieur,Nikon Z30,Yongnuo 35mm f/2,Neewer LED Panel,1970
pub,high,studio,RED Komodo,Leica Summilux-C 29mm,Astera Titan Tube,119524
documentaire,high,extérieur,Sony FX6,Leica Summilux-C 29mm,Aputure 300x,469717
documentaire,high,intérieur,ARRI Alexa Mini,Leica Summilux-C 29mm,Astera Titan Tube,395949
court-métrage,low,studio,Canon M50,Meike 25mm T2.2,Andoer 660 LED,2397
clip,high,extérieur,Canon C70,Leica Summilux-C 29mm,Nanlite Forza 300,482734
court-métrage,high,studio,RED Komodo,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,222393
interview,high,intérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,92873
court-métrage,high,studio,Canon C70,Canon CN-E 85mm T1.3,Aputure 300x,447753
pub,medium,studio,Canon R6,Sigma 30mm f/1.4,Aputure AL-MC RGB,7055
court-métrage,medium,extérieur,Nikon Z6 II,Tamron 28-75mm,Godox SL60W,6295
pub,low,studio,Nikon Z30,Kit 18-55mm,Neewer LED Panel,3911
court-métrage,low,studio,Panasonic G7,Meike 25mm T2.2,Ring Light,2550
court-métrage,medium,studio,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,Aputure Amaran 100x,8358
documentaire,high,extérieur,Canon C70,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,313688
clip,high,intérieur,Sony FX6,Leica Summilux-C 29mm,ARRI SkyPanel S60,137871
documentaire,high,intérieur,Sony VENICE,Canon CN-E 85mm T1.3,Nanlite Forza 300,406134
clip,medium,intérieur,Sony FX30,Sigma 24-70mm f/2.8,FalconEyes RX-18T,4637
pub,medium,intérieur,Panasonic GH6,Canon RF 24-70mm,Nanlite PavoTube 6C,8107
clip,medium,extérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,Godox SL60W,4511
interview,low,extérieur,Blackmagic Pocket Cinema Camera HD,Sigma 16mm f/1.4,Ulanzi VL49,3195
documentaire,low,extérieur,Canon M50,Kit 18-55mm,GVM LED RGB,3557
court-métrage,low,extérieur,Fujifilm X-T200,Canon 50mm f/1.8,Softbox 135W,2773
pub,medium,extérieur,Panasonic GH6,Sony 18-105mm f/4 G,FalconEyes RX-18T,8427
court-métrage,medium,intérieur,Nikon Z6 II,Tokina 11-20mm f/2.8,Godox SL60W,5650
interview,medium,intérieur,Sony FX30,Sigma 30mm f/1.4,Godox SL60W,8901
pub,high,extérieur,Canon C70,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,173785
pub,high,intérieur,RED Komodo,Sony G Master 35mm f/1.4,Litepanels Gemini 2x1,412990
documentaire,high,studio,Sony VENICE,Leica Summilux-C 29mm,Nanlite Forza 300,41396
pub,high,extérieur,ARRI Alexa Mini,Canon CN-E 85mm T1.3,ARRI SkyPanel S60,197849
documentaire,medium,studio,Canon R6,Canon RF 24-70mm,SmallRig RC120B,7293
