type,budget,lieu,camera,objectif,lumieres,prix_estime
court-métrage,low,intérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Ulanzi VL49,2019
clip,high,extérieur,RED Komodo,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,451471
documentaire,low,extérieur,Canon M50,Kit 18-55mm,Ring Light,2729
documentaire,high,extérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Creamsource Vortex8,125685
documentaire,medium,extérieur,Canon R6,Sigma 30mm f/1.4,FalconEyes RX-18T,6903
court-métrage,medium,intérieur,Canon R6,Tamron 28-75mm,Godox SL60W,7621
documentaire,medium,studio,Fujifilm X-H2,Canon RF 24-70mm,FalconEyes RX-18T,5215
documentaire,medium,extérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Nanlite PavoTube 6C,9345
clip,medium,studio,Sony A7 IV,Sony 18-105mm f/4 G,SmallRig RC120B,8364
clip,high,studio,Canon C70,Sony G Master 35mm f/1.4,Astera Titan Tube,476975
documentaire,medium,extérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,5846
clip,low,intérieur,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,Andoer 660 LED,3834
documentaire,high,extérieur,Sony VENICE,Leica Summilux-C 29mm,Creamsource Vortex8,137984
pub,low,extérieur,Canon M50,Sigma 16mm f/1.4,Andoer 660 LED,3682
court-métrage,medium,intérieur,Canon R6,Canon RF 24-70mm,Nanlite PavoTube 6C,9777
clip,medium,studio,Blackmagic Pocket 4K,Tamron 28-75mm,SmallRig RC120B,9318
court-métrage,medium,intérieur,Sony FX30,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,7063
interview,high,extérieur,RED Komodo,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,32766
clip,medium,extérieur,Fujifilm X-H2,Sony 18-105mm f/4 G,Aputure AL-MC RGB,8982
clip,high,intérieur,ARRI Alexa Mini,Leica Summilux-C 29mm,ARRI SkyPanel S60,498568
court-métrage,medium,intérieur,Fujifilm X-H2,Canon RF 24-70mm,Aputure AL-MC RGB,8463
court-métrage,medium,extérieur,Canon R6,Sigma 24-70mm f/2.8,Nanlite PavoTube 6C,9912
court-métrage,medium,extérieur,Canon R6,Sigma 24-70mm f/2.8,Godox SL60W,6348
interview,medium,studio,Fujifilm X-H2,Sigma 24-70mm f/2.8,SmallRig RC120B,8132
documentaire,medium,extérieur,Sony A7 IV,Canon RF 24-70mm,SmallRig RC120B,8677
court-métrage,high,intérieur,Canon C70,Canon L 24-70mm f/2.8,Aputure 300x,476709
pub,low,extérieur,Panasonic G7,Kit 18-55mm,GVM LED RGB,2284
interview,low,intérieur,Canon M50,Sigma 16mm f/1.4,Softbox 135W,3513
documentaire,low,extérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,GVM LED RGB,2462
interview,medium,intérieur,Panasonic GH6,Canon RF 24-70mm,Aputure AL-MC RGB,7947
documentaire,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Astera Titan Tube,323999
clip,low,studio,Sony A6400,Canon 50mm f/1.8,Andoer 660 LED,2423
clip,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,250470
pub,medium,extérieur,Nikon Z6 II,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,6238
documentaire,medium,studio,Nikon Z6 II,Tokina 11-20mm f/2.8,Godox SL60W,8298
interview,high,intérieur,RED Komodo,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,134768
clip,high,intérieur,Sony VENICE,Sony G Master 35mm f/1.4,Nanlite Forza 300,159940
documentaire,high,extérieur,Canon C70,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,256811
court-métrage,high,intérieur,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Aputure 300x,255237
court-métrage,low,extérieur,Panasonic G7,Yongnuo 35mm f/2,Ring Light,3400
pub,low,intérieur,Sony A6400,Yongnuo 35mm f/2,Ring Light,2116
pub,low,intérieur,Panasonic G7,Meike 25mm T2.2,GVM LED RGB,2462
documentaire,low,intérieur,Canon M50,Yongnuo 35mm f/2,Ring Light,3562
court-métrage,low,extérieur,Sony A6400,Canon 50mm f/1.8,Andoer 660 LED,3810
interview,medium,extérieur,Fujifilm X-H2,Sigma 24-70mm f/2.8,Godox SL60W,6425
documentaire,medium,studio,Fujifilm X-H2,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,7773
clip,low,extérieur,Nikon Z30,Sigma 16mm f/1.4,GVM LED RGB,2346
interview,high,studio,ARRI Alexa Mini,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,485819
documentaire,high,studio,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Creamsource Vortex8,230091
clip,medium,studio,Nikon Z6 II,Canon RF 24-70mm,Aputure AL-MC RGB,6476
pub,high,extérieur,Sony FX6,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,87799
court-métrage,low,extérieur,Canon M50,Kit 18-55mm,Softbox 135W,1566
pub,medium,extérieur,Panasonic GH6,Tokina 11-20mm f/2.8,Godox SL60W,7777
documentaire,medium,extérieur,Blackmagic Pocket 4K,Tamron 28-75mm,Aputure AL-MC RGB,9634
pub,high,studio,ARRI Alexa Mini,Leica Summilux-C 29mm,ARRI SkyPanel S60,228324
pub,high,extérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,409460
documentaire,medium,intérieur,Canon R6,Tamron 28-75mm,Godox SL60W,9534
documentaire,low,studio,Nikon Z30,Kit 18-55mm,Ulanzi VL49,3764
clip,low,extérieur,Panasonic G7,Kit 18-55mm,GVM LED RGB,1507
clip,high,intérieur,RED Komodo,Canon CN-E 85mm T1.3,ARRI SkyPanel S60,153317
pub,medium,extérieur,Canon R6,Tokina 11-20mm f/2.8,Aputure AL-MC RGB,8572
pub,low,studio,Panasonic G7,Sigma 16mm f/1.4,Softbox 135W,1818
court-métrage,medium,intérieur,Panasonic GH6,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,5728
pub,high,studio,Sony FX6,Canon L 24-70mm f/2.8,Creamsource Vortex8,316365
pub,low,intérieur,Panasonic G7,Canon 50mm f/1.8,Ring Light,2095
pub,high,studio,RED Komodo,Sony G Master 35mm f/1.4,Astera Titan Tube,430595
documentaire,high,extérieur,ARRI Alexa Mini,Canon CN-E 85mm T1.3,Astera Titan Tube,24678
clip,low,extérieur,Sony A6400,Meike 25mm T2.2,Ring Light,3372
clip,low,intérieur,Canon M50,Viltrox 23mm f/1.4,Ring Light,2883
clip,low,studio,Fujifilm X-T200,Kit 18-55mm,Ulanzi VL49,1758
court-métrage,low,studio,Fujifilm X-T200,Kit 18-55mm,Ulanzi VL49,2710
interview,high,studio,Sony FX6,ARRI Signature Prime 35mm,Aputure 300x,292035
pub,high,extérieur,RED Komodo,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,109549
pub,low,studio,Sony A6400,Meike 25mm T2.2,Ulanzi VL49,3887
court-métrage,medium,extérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,Godox SL60W,7362
court-métrage,medium,studio,Sony FX30,Tokina 11-20mm f/2.8,Godox SL60W,7845
pub,medium,studio,Sony A7 IV,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,8253
pub,low,intérieur,Sony A6400,Canon 50mm f/1.8,Ring Light,2338
clip,low,intérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Softbox 135W,2153
interview,high,intérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Aputure 300x,77697
pub,low,studio,Canon M50,Meike 25mm T2.2,Neewer LED Panel,3143
clip,medium,extérieur,Sony A7 IV,Sony 18-105mm f/4 G,SmallRig RC120B,7725
court-métrage,low,studio,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,Andoer 660 LED,3578
court-métrage,medium,intérieur,Sony A7 IV,Sigma 24-70mm f/2.8,Nanlite PavoTube 6C,6245
clip,high,intérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Astera Titan Tube,375311
documentaire,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Astera Titan Tube,123406
pub,medium,studio,Nikon Z6 II,Canon RF 24-70mm,FalconEyes RX-18T,4709
clip,medium,studio,Sony A7 IV,Tamron 28-75mm,Aputure Amaran 100x,8246
clip,high,extérieur,ARRI Alexa Mini,Sony G Master 35mm f/1.4,Astera Titan Tube,109160
documentaire,medium,intérieur,Blackmagic Pocket 4K,Sigma 30mm f/1.4,Godox SL60W,6637
clip,high,studio,Sony FX6,Sony G Master 35mm f/1.4,Litepanels Gemini 2x1,82126
interview,low,studio,Sony A6400,Yongnuo 35mm f/2,Andoer 660 LED,1949
interview,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,Ring Light,3105
pub,medium,studio,Sony FX30,Tamron 28-75mm,Aputure AL-MC RGB,6985
interview,high,intérieur,Sony VENICE,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,84017
interview,low,studio,Nikon Z30,Kit 18-55mm,Ulanzi VL49,3790
interview,high,intérieur,Sony FX6,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,23430
interview,low,extérieur,Panasonic G7,Yongnuo 35mm f/2,Neewer LED Panel,2843
documentaire,medium,studio,Nikon Z6 II,Tamron 28-75mm,Godox SL60W,8844
clip,medium,extérieur,Panasonic GH6,Sony 18-105mm f/4 G,FalconEyes RX-18T,6996
interview,medium,extérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,SmallRig RC120B,6676
pub,medium,extérieur,Sony A7 IV,Tamron 28-75mm,FalconEyes RX-18T,8815
interview,medium,extérieur,Fujifilm X-H2,Sony 18-105mm f/4 G,Aputure AL-MC RGB,6167
documentaire,medium,intérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,FalconEyes RX-18T,4660
court-métrage,low,intérieur,Nikon Z30,Meike 25mm T2.2,Andoer 660 LED,3377
clip,high,intérieur,Canon C70,Sony G Master 35mm f/1.4,Aputure 300x,305932
clip,low,studio,Canon M50,Canon 50mm f/1.8,Softbox 135W,3833
interview,medium,extérieur,Fujifilm X-H2,Sony 18-105mm f/4 G,Godox SL60W,6605
interview,low,studio,Panasonic G7,Viltrox 23mm f/1.4,Softbox 135W,2246
pub,low,extérieur,Canon M50,Sigma 16mm f/1.4,Ring Light,2659
clip,high,extérieur,ARRI Alexa Mini,Canon CN-E 85mm T1.3,Creamsource Vortex8,249687
pub,high,extérieur,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Aputure 300x,215808
interview,high,extérieur,Sony FX6,ARRI Signature Prime 35mm,ARRI SkyPanel S60,286590
clip,low,studio,Nikon Z30,Yongnuo 35mm f/2,GVM LED RGB,1805
pub,medium,studio,Blackmagic Pocket 4K,Sigma 30mm f/1.4,FalconEyes RX-18T,8615
court-métrage,high,studio,ARRI Alexa Mini,Canon CN-E 85mm T1.3,Astera Titan Tube,40276
interview,high,extérieur,RED Komodo,Sony G Master 35mm f/1.4,Astera Titan Tube,70223
interview,medium,extérieur,Fujifilm X-H2,Canon RF 24-70mm,Nanlite PavoTube 6C,5075
clip,high,extérieur,Blackmagic URSA Mini Pro 12K,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,97723
pub,medium,studio,Canon R6,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,5325
pub,low,studio,Fujifilm X-T200,Kit 18-55mm,Ulanzi VL49,2871
documentaire,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,FalconEyes RX-18T,5212
documentaire,low,intérieur,Nikon Z30,Kit 18-55mm,Andoer 660 LED,2546
court-métrage,high,studio,Sony VENICE,Canon CN-E 85mm T1.3,ARRI SkyPanel S60,78935
court-métrage,medium,extérieur,Sony FX30,Canon RF 24-70mm,Godox SL60W,7822
clip,high,extérieur,RED Komodo,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,74934
pub,low,intérieur,Panasonic G7,Sigma 16mm f/1.4,Andoer 660 LED,3650
interview,low,studio,Fujifilm X-T200,Kit 18-55mm,Ring Light,3547
pub,low,intérieur,Canon M50,Canon 50mm f/1.8,Softbox 135W,2294
documentaire,medium,extérieur,Panasonic GH6,Tamron 28-75mm,Godox SL60W,8412
clip,low,extérieur,Canon M50,Sigma 16mm f/1.4,Ulanzi VL49,2195
documentaire,low,studio,Canon M50,Kit 18-55mm,Ring Light,3452
interview,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,372617
court-métrage,low,intérieur,Canon M50,Sigma 16mm f/1.4,Ulanzi VL49,2193
pub,low,studio,Nikon Z30,Canon 50mm f/1.8,Ulanzi VL49,1682
pub,low,intérieur,Canon M50,Canon 50mm f/1.8,Ring Light,3005
clip,high,studio,Canon C70,Leica Summilux-C 29mm,Creamsource Vortex8,423051
court-métrage,medium,studio,Fujifilm X-H2,Canon RF 24-70mm,Aputure Amaran 100x,5434
interview,medium,extérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,FalconEyes RX-18T,8914
clip,low,studio,Panasonic G7,Kit 18-55mm,Ulanzi VL49,3423
interview,medium,extérieur,Sony A7 IV,Tamron 28-75mm,Aputure AL-MC RGB,9868
court-métrage,low,extérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Neewer LED Panel,1764
documentaire,high,extérieur,RED Komodo,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,316031
interview,low,studio,Nikon Z30,Canon 50mm f/1.8,Softbox 135W,2323
court-métrage,low,intérieur,Panasonic G7,Yongnuo 35mm f/2,Ring Light,3517
pub,medium,extérieur,Fujifilm X-H2,Canon RF 24-70mm,FalconEyes RX-18T,5726
clip,medium,intérieur,Canon R6,Sigma 30mm f/1.4,Nanlite PavoTube 6C,5321
documentaire,high,extérieur,Canon C70,Sony G Master 35mm f/1.4,Nanlite Forza 300,107742
interview,medium,intérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,FalconEyes RX-18T,5722
documentaire,medium,extérieur,Panasonic GH6,Sony 18-105mm f/4 G,SmallRig RC120B,9195
documentaire,high,extérieur,Sony FX6,ARRI Signature Prime 35mm,Astera Titan Tube,17832
pub,high,intérieur,ARRI Alexa Mini,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,46449
pub,medium,intérieur,Nikon Z6 II,Sony 18-105mm f/4 G,Aputure Amaran 100x,7469
court-métrage,medium,studio,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,FalconEyes RX-18T,8296
interview,low,intérieur,Nikon Z30,Meike 25mm T2.2,GVM LED RGB,2562
court-métrage,medium,studio,Fujifilm X-H2,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,7449
court-métrage,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,GVM LED RGB,2453
interview,medium,extérieur,Sony FX30,Sony 18-105mm f/4 G,Aputure AL-MC RGB,9689
pub,medium,extérieur,Sony A7 IV,Tamron 28-75mm,Nanlite PavoTube 6C,6143
court-métrage,high,extérieur,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Astera Titan Tube,385093
interview,high,intérieur,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Aputure 300x,86850
clip,high,extérieur,Canon C70,ARRI Signature Prime 35mm,Nanlite Forza 300,162457
documentaire,high,intérieur,Canon C70,Sony G Master 35mm f/1.4,Litepanels Gemini 2x1,455817
clip,medium,intérieur,Nikon Z6 II,Canon RF 24-70mm,Nanlite PavoTube 6C,7873
pub,medium,studio,Fujifilm X-H2,Tamron 28-75mm,Godox SL60W,5503
interview,low,intérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Andoer 660 LED,2929
interview,high,studio,Sony FX6,Canon L 24-70mm f/2.8,Nanlite Forza 300,309481
pub,medium,extérieur,Panasonic GH6,Sony 18-105mm f/4 G,Godox SL60W,7575
documentaire,medium,intérieur,Blackmagic Pocket 4K,Sigma 30mm f/1.4,Nanlite PavoTube 6C,8170
pub,medium,studio,Blackmagic Pocket 4K,Tamron 28-75mm,FalconEyes RX-18T,5581
interview,medium,studio,Panasonic GH6,Tamron 28-75mm,Aputure AL-MC RGB,9077
interview,medium,intérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,6922
documentaire,low,intérieur,Canon M50,Sigma 16mm f/1.4,GVM LED RGB,2483
documentaire,low,studio,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,GVM LED RGB,2425
interview,low,intérieur,Sony A6400,Sigma 16mm f/1.4,GVM LED RGB,2408
pub,high,intérieur,ARRI Alexa Mini,Leica Summilux-C 29mm,Nanlite Forza 300,361873
interview,low,extérieur,Sony A6400,Meike 25mm T2.2,Softbox 135W,2076
clip,low,extérieur,Nikon Z30,Meike 25mm T2.2,Ring Light,1934
clip,medium,extérieur,Sony FX30,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,8478
court-métrage,low,extérieur,Nikon Z30,Yongnuo 35mm f/2,Softbox 135W,2941
clip,medium,intérieur,Fujifilm X-H2,Sony 18-105mm f/4 G,SmallRig RC120B,8664
pub,high,studio,RED Komodo,Leica Summilux-C 29mm,Litepanels Gemini 2x1,49814
clip,low,intérieur,Nikon Z30,Kit 18-55mm,Neewer LED Panel,2377
interview,medium,studio,Nikon Z6 II,Tokina 11-20mm f/2.8,SmallRig RC120B,6763
pub,low,intérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Neewer LED Panel,1824
documentaire,high,intérieur,Sony FX6,ARRI Signature Prime 35mm,ARRI SkyPanel S60,69598
interview,low,intérieur,Panasonic G7,Kit 18-55mm,Andoer 660 LED,2143
interview,high,studio,RED Komodo,Sony G Master 35mm f/1.4,Creamsource Vortex8,325227
pub,low,intérieur,Canon M50,Meike 25mm T2.2,Ring Light,2719
documentaire,medium,extérieur,Blackmagic Pocket 4K,Sigma 24-70mm f/2.8,Godox SL60W,8250
clip,low,intérieur,Blackmagic Pocket Cinema Camera HD,Viltrox 23mm f/1.4,Softbox 135W,3375
pub,low,extérieur,Sony A6400,Kit 18-55mm,Andoer 660 LED,2782
court-métrage,high,intérieur,Sony FX6,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,340511
court-métrage,low,extérieur,Nikon Z30,Canon 50mm f/1.8,Ulanzi VL49,2541
documentaire,medium,studio,Canon R6,Sigma 24-70mm f/2.8,SmallRig RC120B,8032
documentaire,medium,intérieur,Canon R6,Sigma 24-70mm f/2.8,SmallRig RC120B,5506
clip,high,extérieur,Blackmagic URSA Mini Pro 12K,Leica Summilux-C 29mm,Creamsource Vortex8,416072
clip,medium,intérieur,Nikon Z6 II,Sigma 30mm f/1.4,Aputure Amaran 100x,6957
documentaire,medium,intérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,SmallRig RC120B,8560
court-métrage,high,extérieur,Canon C70,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,419025
interview,high,intérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Aputure 300x,166626
court-métrage,high,intérieur,ARRI Alexa Mini,Canon L 24-70mm f/2.8,Nanlite Forza 300,273809
court-métrage,high,intérieur,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Aputure 300x,179545
interview,low,studio,Nikon Z30,Kit 18-55mm,Andoer 660 LED,2723
documentaire,high,extérieur,Sony FX6,Canon L 24-70mm f/2.8,Aputure 300x,245464
clip,low,studio,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,Ring Light,2854
pub,low,intérieur,Canon M50,Viltrox 23mm f/1.4,Neewer LED Panel,3565
pub,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,288567
clip,low,studio,Nikon Z30,Yongnuo 35mm f/2,Ring Light,3309
court-métrage,low,studio,Panasonic G7,Kit 18-55mm,Andoer 660 LED,3276
court-métrage,low,intérieur,Sony A6400,Sigma 16mm f/1.4,Andoer 660 LED,1565
clip,medium,extérieur,Canon R6,Tamron 28-75mm,Aputure Amaran 100x,5273
documentaire,low,extérieur,Canon M50,Canon 50mm f/1.8,Andoer 660 LED,1780
clip,high,extérieur,Blackmagic URSA Mini Pro 12K,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,348571
court-métrage,high,intérieur,Sony FX6,Canon L 24-70mm f/2.8,Nanlite Forza 300,208219
documentaire,high,studio,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,461245
court-métrage,low,intérieur,Sony A6400,Sigma 16mm f/1.4,Andoer 660 LED,3077
documentaire,low,intérieur,Blackmagic Pocket Cinema Camera HD,Viltrox 23mm f/1.4,Neewer LED Panel,3924
clip,medium,intérieur,Sony FX30,Tamron 28-75mm,SmallRig RC120B,8431
documentaire,high,extérieur,Canon C70,Canon CN-E 85mm T1.3,Creamsource Vortex8,374383
interview,low,intérieur,Sony A6400,Kit 18-55mm,GVM LED RGB,3267
pub,low,extérieur,Fujifilm X-T200,Meike 25mm T2.2,Softbox 135W,3994
court-métrage,high,extérieur,Sony FX6,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,22890
interview,high,studio,Blackmagic URSA Mini Pro 12K,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,322723
pub,high,intérieur,Blackmagic URSA Mini Pro 12K,Zeiss CP.3 50mm T2.1,Creamsource Vortex8,497583
documentaire,medium,extérieur,Sony FX30,Tamron 28-75mm,Aputure Amaran 100x,9227
clip,medium,studio,Sony A7 IV,Sigma 24-70mm f/2.8,Nanlite PavoTube 6C,9121
documentaire,medium,intérieur,Sony A7 IV,Sony 18-105mm f/4 G,FalconEyes RX-18T,9011
court-métrage,medium,studio,Panasonic GH6,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,9880
clip,high,intérieur,Sony FX6,Leica Summilux-C 29mm,Creamsource Vortex8,154099
interview,high,intérieur,Canon C70,Canon CN-E 85mm T1.3,Astera Titan Tube,198369
documentaire,high,extérieur,Sony VENICE,ARRI Signature Prime 35mm,Nanlite Forza 300,438175
clip,low,extérieur,Sony A6400,Viltrox 23mm f/1.4,Softbox 135W,3588
pub,medium,extérieur,Canon R6,Sigma 24-70mm f/2.8,SmallRig RC120B,7949
interview,high,extérieur,Sony VENICE,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,340688
clip,low,studio,Sony A6400,Viltrox 23mm f/1.4,Softbox 135W,1970
court-métrage,medium,studio,Nikon Z6 II,Tokina 11-20mm f/2.8,Aputure AL-MC RGB,9280
interview,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,GVM LED RGB,2845
clip,high,studio,ARRI Alexa Mini,Leica Summilux-C 29mm,Astera Titan Tube,98093
interview,low,studio,Sony A6400,Viltrox 23mm f/1.4,Ulanzi VL49,2517
pub,high,extérieur,Sony VENICE,Canon L 24-70mm f/2.8,Nanlite Forza 300,113009
court-métrage,low,studio,Fujifilm X-T200,Viltrox 23mm f/1.4,Andoer 660 LED,2890
clip,low,extérieur,Fujifilm X-T200,Kit 18-55mm,Andoer 660 LED,2440
interview,medium,studio,Sony A7 IV,Canon RF 24-70mm,Aputure AL-MC RGB,6821
documentaire,low,studio,Fujifilm X-T200,Yongnuo 35mm f/2,Andoer 660 LED,3866
interview,medium,studio,Fujifilm X-H2,Tamron 28-75mm,Aputure Amaran 100x,7465
court-métrage,high,studio,ARRI Alexa Mini,ARRI Signature Prime 35mm,ARRI SkyPanel S60,104093
pub,medium,studio,Sony FX30,Tamron 28-75mm,Aputure AL-MC RGB,6339
documentaire,medium,studio,Nikon Z6 II,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6700
clip,low,intérieur,Fujifilm X-T200,Meike 25mm T2.2,Ring Light,3205
clip,high,studio,Blackmagic URSA Mini Pro 12K,ARRI Signature Prime 35mm,Aputure 300x,460167
